AID,SID,CID,Activity Outcome,Target Accession,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Assay Type,PubMed ID,RNAi,SMILES
1433,50100086,11485656,Active,NP_002010,2321,0.0075000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_002244,3791,0.0081000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_002600,5159,0.0019000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_003795,8737,2.8000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004110,2322,0.0006300000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004110,2322,0.0110000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004434,2049,1.4000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004435,2050,1.4000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_006171,4915,1.1000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_065717,57396,1.6000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_076916,728642,1.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_872198,9252,1.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,CAI14764,,4.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_002721,5566,6.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100087,11667893,Active,NP_000213,3815,0.0230000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_001945,780,0.2600000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_002600,5159,0.0091000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_004324,673,0.2800000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_004324,673,0.6300000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_005202,1436,0.0056000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_005219,1956,2.3000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_005347,3932,0.3600000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Inactive,NP_005148,25,3.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Inactive,NP_005219,1956,3.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Inactive,NP_075593,2260,6.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100088,11409972,Active,AAA61480,1195,0.1100000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,AAB60430,10461,0.3700000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,BAA35073,6793,0.0009200000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100086,11485656,Active,CAA49505,2324,0.0160000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004110,2322,0.0026000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004295,238,1.6000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_005148,25,1.7000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_006197,5156,0.0042000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_006566,11183,0.9100000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_055387,26524,1.7000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_065681,5979,0.1000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_277023,,1.3000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_996844,4058,0.5500000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_003609,8491,3.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_005219,1956,6.5000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_005224,2042,3.5000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100087,11667893,Active,AAC77369,6795,1.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,BAA35073,6793,1.1000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_000213,3815,0.0032000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_000213,3815,0.0037000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_000213,3815,0.0130000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_001706,640,2.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_004110,2322,0.0710000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_057062,51086,0.2200000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_065681,5979,0.0200000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_598407,51776,0.0080000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_694592,2534,2.8000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Inactive,NP_001013725,440275,4.4000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Inactive,NP_005219,1956,4.5000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100088,11409972,Active,AAA75374,4916,0.0340000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,AAB40118,6300,0.0290000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,AAF17226,2872,0.0030000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_000213,3815,0.0050000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001006933,6196,1.1000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001251,1024,0.0014000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001252,1025,0.1900000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001690,558,0.5700000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001706,640,0.0300000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_002022,2444,0.0260000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_002101,3055,0.8800000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_002744,5602,0.7600000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100086,11485656,Active,AAC77369,6795,0.0710000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_000450,7010,0.4500000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_001690,558,0.3400000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_001790,1022,2.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_002022,2444,0.4000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_003591,6790,1.6000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_004431,2045,0.1100000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_005415,7075,0.1100000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_006272,6788,1.5000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_055535,9748,0.4500000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_055891,23097,0.0740000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_060871,55351,0.2700000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_065681,5979,0.1200000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Active,NP_620590,225689,2.8000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,AAA61480,1195,8.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,CAA52777,4921,3.8000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_001006945,8986,7.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_001012331,4914,3.1000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100086,11485656,Inactive,NP_005560,3985,4.7000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N
1433,50100087,11667893,Active,CAA49505,2324,0.0097000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_002010,2321,0.0120000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_002341,4067,0.1600000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_004110,2322,1.0000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_004110,2322,1.1000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_005219,1956,1.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_005966,5753,1.0000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_006197,5156,0.0100000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Active,NP_055535,9748,1.3000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100087,11667893,Inactive,NP_005239,2268,6.9000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
1433,50100088,11409972,Active,BAA36547,5562,1.4000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,CAA52777,4921,0.0110000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_000213,3815,0.0180000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001012331,4914,0.3200000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001073917,285220,0.3800000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_001945,780,0.0006900000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_002244,3791,0.2000000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_002587,5129,0.0540000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,NP_002600,5159,0.0081000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
1433,50100088,11409972,Active,CAA47004,5128,0.0150000000,,Kinase Inhibitor Selectivity Profiling Assay,Other,,,CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F
